img_url,s1,s2,s3,s4,s5
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000196.jpg, A calico cat seated on the doorstep surrounded by bikes and junk., A cat is sitting in between two bikes., Calico cat sitting on step in front of a door., Multi colored cat sitting on a step between two bicycles., The cat is sitting between two bicycles in front of a door.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000275.jpg, A line outside of a bookstore on a street., A woman with a baby stroller and others at a bookstore., Group of people walking into a book store., People stand outside a bookstore., Several people gather outside of a schoolbook store.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000491.jpg, a close up of a small cactus in a pot , A close-up of three terra cotta pots with cacti growing in them., A line of potted cactus plants., A row of three potted cactus., The trio of cactus take in some sun.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000564.jpg, a girl and three tents are outside a house with a flag , A girl walking across a lawn with three tents and a flagpole.," A yard with three tents, a young girl and a flower planter.", A young girl stands in front of three tents in a yard., Several tents set up on grass in backyard.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_000960.jpg, Two blue macaws sit on a perch in a lush green garden., Two brightly colored parrots sitting on a fence., Two colorful birds sitting on a tree branch., two macaws sitting on a branch , Two parrots 
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001078.jpg, A black and white cat gets into a basket of yarn., A black and white cat is pawing at a pile of yarn on the floor., A black and white cat playing with a blanket., A black and white cat playing with a wool basket., A black cat with white paws in a cluttered room.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001460.jpg, An indoor plant in a yellow pot by a window., A potted plant getting light from a window., A potted plant in sunlight from a window., A yellow plant pot with a green and white leafed plant., There is a green plant in a white pot sitting on a brown table.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001541.jpg, A small street in an urban area., Long alleyway with several cars parked on the side., Two cars are parked along a row of white buildings., Two red cars on a deserted street.," Two red cars, one of them a Mini Cooper, park on a quiet side street."
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001784.jpg, A bride and groom along with other family members in a church., A bride and groom pose with their family., A wedding of a man and woman with their parents and siblings in a church., Wedding photo of bride and groom with several other people., Wedding photo on the alter.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001862.jpg, A black dog approaches the potted plants in the foreground., A large dog standing behind a series of empty plant pots., A table with bowls and plants., Dog starring at potted plants , The curious dog looks to do some damage to the pots.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_001966.jpg, A bird perched on a flowerpot., A brown bird sits upon a clay pot amongst some flowers., A close-up of a bird perched on a terra cotta flower pot., Bird perched on a flowerpot beside a stucco wall., The bird protects its new nest in the pot.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_002026.jpg," A beige living room has a chair, lamp, table, and other furniture.", A chair has a throw pillow on it , A comfortable looking sitting room with a lamp turned on.," A living room with table, chair and sofa alongside a large palm.", A room decorated with furniture and potted plants.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_002653.jpg," A little, dark-haired girl in a blue dress and boots sits on a concrete pedestal surrounded by plants and flowers.", An Asian toddler girl sits next to a pot of flowers on a marble post., A small child sits on a cement wall near white flower., A small girl sits on a stone ledge near a white flowering plant., The girl is wearing a blue dress and is very young.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_002882.jpg, A man woman and teenage boy pose together inside.," A women, man and a boy smiling while looking at the camera."," A younger brother, sister and older brother in their home.", Photo of three young adults standing in a room., Three people posing in front of a window.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_002897.jpg, A man in a black hat is sitting on a chair on a patio playing guitar., A man playing the guitar is seated in the patio., A man sitting in a back yard playing the guitar., A musician sits on his patio playing his guitar., Man playing guitar while sitting down.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_003144.jpg, A group of people stand by a body of water looking at a building., A man with a small child and two other people looking at the water., Feet standing on a pretty day with large building in background., People await the next boat ride on the lake., Several people standing at handling of small lake.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_003665.jpg, A black dog , A black dog laying on the grass next to a wooden structure., A black dog lies on the grass., A black dog sitting outside., The black dog is lying in the grass.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_003689.jpg, A girl sitting in a living chair., A girl with a backpack sits in a flower-pattered armchair in an office area., An Asian woman sitting in a waiting area in an office., A women sitting on a chair in a lobby area., Young woman in glasses sitting.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_004171.jpg, A close-up of a plant in a terra cotta plant pot., A lively looking green plant in a pot., A potted plant is sitting on cement next to the grass., Gree plant in red clay pot., Some seedlings planted in a plant pot with grass behind.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_004380.jpg, A black and white photo of four people playing scrabble., A family playing scrabble with an uncle around a kitchen table in black and white., Black and white picture of a family playing Scrabble around a table., This is a black and white photo of a family playing Scrabble., Three elderly people and a young boy play scrabble.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_004619.jpg, A loft with a black bookcase beneath it., An interior room with a shelf of books and decorative items below a loft area., An open plan living area with a mezzanine level., Black book shelf in a white room., This is someone's living room and second-floor inside balcony.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_004634.jpg, a wild garden with two potted flowers , Lush plants grow in terra cotta pots and directly out of the ground., There are several different colors of flowers and types of plants in this garden., There are two flowerpots in the middle of the planted flowers on the ground., Two potted plants are surrounded by a lovely green garden of varying plants and flowers.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_005111.jpg, a girl holding a black white dog with a blue dog chain , A women holds a small dog on a leash with chairs in the background., Cute redhead walking a puppy , The girl stands holding leash attached to a small dog., The small dog protects its owner.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_005214.jpg, A row of brightly colored plant pots under a blue sky., A row of potted plants on top of a railing., Collection of pots sitting on house ledge., Line of pots on top of a wall in front of a terracotta roof., There are a row of different looking flower pots on a fence ledge in front a house.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_005680.jpg, A comical preying mantis sits with other plants on the table., A costume of a venue fly trap is near flowers., A scene of a plant store containing a monster piranha plant.," Some plants, with a stuffed dinosaur head in the background.", The plant from Little Shop of Horrors threatens an actor playing Seymour 
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_005874.jpg, A potted plant with only a few sprouting , Birds-eye view of a potted plant., Newly sprouted plants in a pot., Soil in a terracotta pot with green fertilizer pellets on top., Tiny green plants are growing in a terra cotta pot of dirt.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_005914.jpg, A small house with a broken door and windows., Rundown house with door falling down., The dilapidated house seems to have things growing out of it., the front of a small abandoned house , White abandoned house with overgrown vines.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_005954.jpg," A unique living room with tv, brown table, green and brown walls, and white chairs.", A very retro living room with a television in it., Modern room with TV in a round brown frame., Television encased in a wood frame in a lobby., There is a TV with a wooden oval frame in a modern room.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_006068.jpg, A black and white cat along with a purple African violet plant atop a windowsill., A black and white cat is lying on a windowsill with a cyclamen in a pot next to it., A black and white cat is sleeping next to a plant in the window., A cat sleeps on a window sill next to a flowering plant., Large black and white cat resting on a windowsill.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_006112.jpg, A small tree and a plant inside a pot., A small tree is blooming., There is a flowering bush., The shaded bush awaits the sunlight., The small tree has some flower blossoms.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_006337.jpg, A back porch in the rain., A patio with a chair is beside a tool shed., A small yard with plants and a green plastic chair., Hail stone-covered patio outside., There is a green chair on a deck along with some potted plants.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_006611.jpg, A boy pointing at another boy at the table., A boy points at the other boy sitting across the table from him., Two boys sit facing one another at a table and one points at the other., Two people sit facing each other at a table as one points at the other.," Two young people are sitting at a table next to a sliding glass door, with one person pointing at the other."
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_006807.jpg, The two men are standing next to their bicycles in front of the building., Two men in bike riding clothing standing by their bikes., Two men in biking uniforms looking off into the distance , Two men stand with their bicycles outside a shop., Two men wearing bike helmets.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007042.jpg, A plant growing in a pot., A plant sprouting., Small plant in dirt with a couple of new leaves., The green leaved plant is growing in the dirt., Two bamboo shoots grow in a turquoise bowl.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007226.jpg, A potted plant with only two leaves sprouted., A seedling in a terracotta pot., A sprouting plant in a ceramic pot in front of a window., A tiny plant is growing in a terra cotta pot of dirt., New plant growth in red clay pot.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007281.jpg, A man sits on the couch and uses his laptop in a living room., A man sitting in a cluttered room., An elderly man works on his laptop at home., Man with laptop computer sitting on a couch in a small room., Older gentleman sitting on couch with laptop.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007390.jpg," A close-up of a house with yellow siding, shutters, and flowers.", A quaint yellow house with brown shutters and flowers all around., A small yellow and purple house., Colorful flowers grow in a beige bungalow's neatly kept yard., The yellow house has a beautiful garden.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007461.jpg, A dog laying down., A furry dog lying on a glass table., A small brown dog., Small brown fluffy dog sitting on a glass surface.," Small, long-haired dog sitting on the glass table top."
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007525.jpg, A group of four people walking past a giant mushroom., A number of people in winter clothing walk among a pair of sculptures., Crowd of people walking past a giant mushroom., People under a giant mushroom., People walk at a theme park.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007621.jpg, A brown and white dog poses near a fruit tree in a container pot., A brown and white dog stands and looks at the camera., A dog with large ears looks up at the camera while next to a small bush., the white and brown dog is excited to go on a walk in the sunshine , Young basset hound standing on patio looking at camera.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007823.jpg, A close up of a potted plant., A large green plant stork sitting in a large ceramic pot., A plant grows inside a clay pot next to a Buddha figurine., The stem of a plant in a terracotta pot with a little Buddha shot from above., This is the green stem of a potted plant.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007831.jpg, Assorted small potted plants labeled on shelves., A variety of desert plants , Cacti and other desert plants on a two shelves.," Several plants, mostly cacti, are lined up on two shelves.", Small plants arranged on a shelf with labels for each.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007882.jpg, A happy man in a blue shirt is standing in front of a fountain.," A man in a blue shirt and tan pants is standing in front of a statue of a man, which is in a cobble stone paved plaza."," A man is standing in front of a raised statue,", A man poses in front of a large fountain with a statue on top., Man with blue shirt standing in front of a fountain.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_007990.jpg," Three dark haired young women in white, red and black sweaters.", Three females wearing sweaters line up in the living room., Three woman posing for a picture in a home ," Three women wearing white, red, and black are smiling at the camera in a living room.", Three young women standing in a room together.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_008024.jpg, Herbs grow in terra cotta plants on a balcony., There are two plants in on the window sill overlooking a silver car., Two potted plants are sitting on a windowbox outside the window with a car visible on the street below., Two potted plants outside a window., Two potted plants outside a window overlooking a grey car parked on the street.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_008237.jpg, A courtyard with a small pagoda in the center., A gazebo in front and other building with arched roofs behind., An artfully designed building., A pavilion with a man walking across it., The outside of a building with a small black gazebo in front.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_008330.jpg, Art items on a table., A women painting a chair with a dining room in the background., Someone is doing artwork and their are art supplies on the table., This person has a table full of crafting supplies at her disposal., Various art supplies on a table.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_008341.jpg, A metallic and ceramic dolphin sculpture in a mall., A mosaic glass sculpture of a whale sits in mall., A sculpture of a dolphin inside a building., A sculpture of a whale in an indoor area., Glass whale statue in lobby of a building.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_008402.jpg, A living with pink walls.," A room with pink walls, a kitchen table, pink couch, and other furniture.", Dining room of a house with a white dining room set on and a pink chair , Room with pink chair and pink wall paint., The room is decorated with pink walls and furniture.
https://vision.cs.uiuc.edu/pascal-sentences/pottedplant/2008_008641.jpg, A man in a striped shirt standing in front of a train in a large station., A man stands in front of a train., A man walking away from a shuttle., An old man with a train , The man is posing in front of a modern locomotive.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_000084.jpg, A lone sheep walking through the woods., A sheep in the morning mist with trees in the background., A sheep standing on a hill at sunset., a white sheep on the grass in front of trees , White sheep standing on grass in the morning.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_000099.jpg, A black and tan dog looks at a black sheep. , A black dog is staring at a sheep. , A black dog looking at a brown sheep in a pen., A large dog stands next to a sheep in a field., The dog is looking at the sheep. 
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_000257.jpg, A large field containing a group of sheep with trees in the distance., Several sheep wander in a field., Sheep are grazing in a grassy field near a stand of trees., Sheep are grazing in the field in front of a line of trees., Sheep graze on the grass.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_000915.jpg, A sheep stands alone in an empty bus stop., A sheep stands in a glass enclosure near the side of a road., A sheep stands inside a clear glass bus stop area in the countryside.," In a rural area, a white goat trimmed in black stands in a bus shelter, apparently waiting.", The sheep is white and black and is at a bus stop.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_001601.jpg, A sheep , A sheep standing angst wild flowers and grasses., A white sheep standing on a field next to wild flowers , The white sheep is standing next to the plant., Two lambs stand on a grassy hill.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_002150.jpg, A blonde girl sits on the side of a mountain next to a sheep. , A girl in a pink sweatshirt sits on a mountain near a sheep. , A woman in the mountains being approached by a sheep , A woman looking at a sheep on top of a cliff., a woman sitting next to a white sheep on a green cliff 
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_002343.jpg, A ewe standing guard over her two newborn lambs., A lamb stands near two tiny animals., A sheep standing near her children., A white lamb in a pin with her new born babies., The baby sheep are protected by their mother.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_002430.jpg, A dog chasing its prey through a field of grass , Sheep being herded by black and white dog., The dog is herding three sheep., Three goats are being rounded up by a dog., Three goats are chased by a dog.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_003147.jpg, A adult and two young sheep in a field , Adult sheep with 2 lambs are walking through the grass field., A sheep with two lambs in a green pasture., sheep standing in afield , Three sheep standing in a line in the green grass.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_004007.jpg, A baby white sheep in a wooden enclosure., A lamb smelling wood., A white lamb with its nose against a wooden box., Little white lamb with nose to wood., White lamb smelling wood.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_004292.jpg, A sheep beside a road and a lake., A sheep is on the edge of a road with a lake and a mountain in the background., A sheep stands on a roadside wall overlooking a large lake , Sheep standing on side of road in grass., Two long-haired goats on the road in front of a river and green hills.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_004453.jpg, The lamb is looking at the camera., There are several sheared sheep in a pen., This is an image of freshly sheared sheep., Three white sheep in an enclosure., White goats in a pen.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_004621.jpg, A little white lamb resting., A small lab lying down., A white kid lying on the ground., The baby lamb sits alone., This baby lamb's white coat contrasts well with the bare earth floor.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_004629.jpg, A domestic animal stands in a pen., A sheep standing on a table at auction., A tall animal is confined by blue metal fencing., White sheep in captivity., Woolly sheep at auction house.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_004854.jpg," A black sheep and a white sheep stand on grass, but the white one has blue earphones and an spot.", A white sheep wearing blue headphones with a black sheep behind., One white sheep and one black sheep listening to music with headphones., Sheep wearing a blue headset.," Two sheep in a field, one of them wearing headphones."
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_005447.jpg, An old man with sheep in the background., an old shepherd in the mountains , A picture of a man with some sheep in the background., Older man wearing beret with mountains in background., Old man with sheep 
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_005494.jpg, A boy feeding a sheep hay., A small boy feeds a large brown sheep in the stable., A small boy feeds hay to a sheep in a pen , Boy feeding a sheep , There is a young boy with a red and blue jacket on feeding a sheep. 
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_005505.jpg, A large sheep standing on a hill., a sheep in the mountains , A sheep standing in a mountainous area., A sheep stands on a hillside., The sheep is standing on the hill in front of the trees.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_005635.jpg, A person covered from head to toe tending six sheep in the pasture., A woman is walking among sheep., A woman is walking through the grass tending to her animals., Person in grassy field tending to sheep., The shaped looks over her flock.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_005736.jpg, Animals stand near plants and a wire fence., One black and two white lambs graze near a fence., One black sheep and two white sheep graze in the forest next to a fence., Three goats feeding on greenery., Two white goats and one black goat graze on plants.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_005938.jpg, A sheep in a patch of green grass., A sheep standing in a field of grass and clover., A white sheep on a hillside looking at the camera., The sheep grazes in the country side., This shaggy white sheep has a hillside of greenery to munch on.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006059.jpg, A sheep is being sheared by two young ladies., Two people cutting the wool off of a sheep. , Two women shearing a sheep on a table., Two women sheering a sheep. , Two young women shear a sheep. 
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006070.jpg," A black sheep, in front of a gray sheep, in front of a fence and a white sheep. ", A black sheep stands in front of a gray-brown sheep. , Black and brown sheep standing on grass behind fence.," Two sheep are standing, looking at the camera, face opposite directions."," Two sheep, one black the other brown, look into the camera "
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006100.jpg, A black and white photo of two rams in a pen., Sheep gather in the pen., Two rams stand on snowy ground., Two sheep on a snowy day standing at the barn door., Two sheep stand in a doorway.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006327.jpg, Four goat kids laying on hay., Four lambs cuddled together on hay., Four lambs lay together in hay., The lambs are sleeping on the hay., Three white lambs and a spotted lamb cuddling in the hay 
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006477.jpg, A black and white baby goat looks off to the side., A sheep sits near a metal fence., A small black and white goat in a pen looking up at the camera., Black baby goat in fenced area., Small goat is seated looking upward.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006835.jpg, A white sheep and a black sheep in a field., Black and white lambs grazing on grass.," Two lambs, one white and one black, graze on grass."," Two sheep, one black, the other white in a grassy field."," Two sheep, one brown one white, with ribbons around their necks."
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006892.jpg, Sheep being shaved on wooden floor., Two farmers shaving their sheep , Two women are sheering a white sheep inside of a wooden building., Two women in a barn finishing the job of shearing a sheep. , Two women shearing a white sheep in a wooden stall.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_006939.jpg, A young sheep with tags on it's ears., Black sheep with tags in both ears., Close up of a sheep , Close up of a white sheep with a black head., The tagged sheep looks sad after being sheered.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_007069.jpg, Field of sheep and lambs under fluffy clouds., many sheep grazing on green hills , Sheep in a large field., The flock of sheep are spread out in the field., The sheep graze in the countryside.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_007070.jpg, Adult and young lambs stand on grass., Sheep and lambs in a field., Two adult llamas and 3 calves are in a field., Two adult white sheep and several lambs are standing in a grassy field., Two sheep and three lambs in a pasture.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_007245.jpg, A large ram at the top of a hill., Animal standing at the top of a rocky mountain., A sheep looks down from a grassy slope., The white sheep is standing on the green hill., This sheep stands alone high on a rocky crag.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_007430.jpg, A close-up of a large white sheep. , A close-up of a sheep with its tongue hanging out., Close up image of a sheep with it's tongue hanging out., Close up of a sheep's face with it's mouth open., Up close image of sheep with grass stuck in fur.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_007497.jpg, A goat stands on a rock with trees in the background., A horned goat standing on a rock ledge., A mountain goat is on snowy rocks near trees., A ram standing on some rocks., A white mountain goat stands on the jagged snow-covered rocks.
https://vision.cs.uiuc.edu/pascal-sentences/sheep/2008_007677.jpg, A brown sheep and black lamb stand side-by-side behind a fence., A brown sheep and small black animal inside a pen., A lamb drinking milk from a mother sheep inside a fence., A large sheep and a small black lamb beside a fence., A small black sheep stands beside a larger brown sheep behind a fence.
